season_rule,season,season_accuracy,n_weeks_used
bottom2_save,28,0.375,8
bottom2_save,29,0.45,10
bottom2_save,30,0.7777777777777778,9
bottom2_save,31,0.5,10
bottom2_save,32,0.4,10
bottom2_save,33,0.42857142857142855,7
bottom2_save,34,0.2777777777777778,9
pct,3,1.0,9
pct,4,1.0,9
pct,5,1.0,10
pct,6,1.0,9
pct,7,1.0,9
pct,8,1.0,10
pct,9,1.0,10
pct,10,0.8888888888888888,9
pct,11,1.0,10
pct,12,1.0,9
pct,13,1.0,10
pct,14,1.0,9
pct,15,1.0,8
pct,16,0.875,8
pct,17,1.0,9
pct,18,1.0,8
pct,19,1.0,10
pct,20,1.0,9
pct,21,0.9285714285714286,7
pct,22,1.0,8
pct,23,1.0,9
pct,24,1.0,9
pct,25,1.0,8
pct,26,1.0,4
pct,27,1.0,8
rank_classic,1,0.8,5
rank_classic,2,0.875,8
