season,week,season_rule,n_elim,weekly_acc
1,2,rank_classic,1,0.0
1,3,rank_classic,1,1.0
1,4,rank_classic,1,1.0
1,5,rank_classic,1,1.0
1,6,rank_classic,1,1.0
2,1,rank_classic,1,1.0
2,2,rank_classic,1,1.0
2,3,rank_classic,1,0.0
2,4,rank_classic,1,1.0
2,5,rank_classic,1,1.0
2,6,rank_classic,1,1.0
2,7,rank_classic,1,1.0
2,8,rank_classic,2,1.0
3,1,pct,1,1.0
3,2,pct,1,1.0
3,3,pct,1,1.0
3,4,pct,1,1.0
3,5,pct,1,1.0
3,7,pct,1,1.0
3,8,pct,1,1.0
3,9,pct,1,1.0
3,10,pct,1,1.0
4,2,pct,1,1.0
4,3,pct,1,1.0
4,4,pct,1,1.0
4,5,pct,1,1.0
4,6,pct,1,1.0
4,7,pct,1,1.0
4,8,pct,1,1.0
4,9,pct,1,1.0
4,10,pct,2,1.0
5,1,pct,1,1.0
5,2,pct,1,1.0
5,3,pct,1,1.0
5,4,pct,1,1.0
5,5,pct,1,1.0
5,6,pct,1,1.0
5,7,pct,1,1.0
5,8,pct,1,1.0
5,9,pct,1,1.0
5,10,pct,2,1.0
6,2,pct,2,1.0
6,3,pct,1,1.0
6,4,pct,1,1.0
6,5,pct,1,1.0
6,6,pct,1,1.0
6,7,pct,1,1.0
6,8,pct,1,1.0
6,9,pct,1,1.0
6,10,pct,2,1.0
7,1,pct,2,1.0
7,2,pct,1,1.0
7,4,pct,1,1.0
7,5,pct,1,1.0
7,6,pct,1,1.0
7,7,pct,1,1.0
7,8,pct,1,1.0
7,9,pct,1,1.0
7,10,pct,2,1.0
8,2,pct,1,1.0
8,3,pct,1,1.0
8,4,pct,2,1.0
8,5,pct,1,1.0
8,6,pct,1,1.0
8,7,pct,1,1.0
8,8,pct,1,1.0
8,9,pct,1,1.0
8,10,pct,1,1.0
8,11,pct,2,1.0
9,1,pct,2,1.0
9,2,pct,1,1.0
9,3,pct,1,1.0
9,4,pct,1,1.0
9,5,pct,1,1.0
9,6,pct,2,1.0
9,7,pct,2,1.0
9,8,pct,1,1.0
9,9,pct,1,1.0
9,10,pct,2,1.0
10,2,pct,1,0.0
10,3,pct,1,1.0
10,4,pct,1,1.0
10,5,pct,1,1.0
10,6,pct,1,1.0
10,7,pct,1,1.0
10,8,pct,1,1.0
10,9,pct,1,1.0
10,10,pct,2,1.0
11,1,pct,1,1.0
11,2,pct,1,1.0
11,3,pct,1,1.0
11,4,pct,1,1.0
11,5,pct,1,1.0
11,6,pct,1,1.0
11,7,pct,1,1.0
11,8,pct,1,1.0
11,9,pct,1,1.0
11,10,pct,2,1.0
12,2,pct,1,1.0
12,3,pct,1,1.0
12,4,pct,1,1.0
12,5,pct,1,1.0
12,6,pct,1,1.0
12,7,pct,1,1.0
12,8,pct,1,1.0
12,9,pct,1,1.0
12,10,pct,2,1.0
13,1,pct,1,1.0
13,2,pct,1,1.0
13,3,pct,1,1.0
13,4,pct,1,1.0
13,5,pct,1,1.0
13,6,pct,1,1.0
13,7,pct,1,1.0
13,8,pct,1,1.0
13,9,pct,1,1.0
13,10,pct,2,1.0
14,2,pct,1,1.0
14,3,pct,1,1.0
14,4,pct,1,1.0
14,5,pct,1,1.0
14,6,pct,1,1.0
14,7,pct,1,1.0
14,8,pct,2,1.0
14,9,pct,1,1.0
14,10,pct,2,1.0
15,1,pct,1,1.0
15,2,pct,1,1.0
15,3,pct,2,1.0
15,4,pct,1,1.0
15,6,pct,1,1.0
15,8,pct,2,1.0
15,9,pct,2,1.0
15,10,pct,2,1.0
16,3,pct,1,0.0
16,4,pct,1,1.0
16,5,pct,1,1.0
16,6,pct,1,1.0
16,7,pct,1,1.0
16,8,pct,1,1.0
16,9,pct,1,1.0
16,10,pct,3,1.0
17,2,pct,1,1.0
17,3,pct,1,1.0
17,4,pct,1,1.0
17,5,pct,1,1.0
17,7,pct,1,1.0
17,8,pct,1,1.0
17,9,pct,1,1.0
17,10,pct,1,1.0
17,11,pct,3,1.0
18,1,pct,1,1.0
18,2,pct,1,1.0
18,5,pct,1,1.0
18,6,pct,1,1.0
18,7,pct,1,1.0
18,8,pct,1,1.0
18,9,pct,1,1.0
18,10,pct,3,1.0
19,1,pct,1,1.0
19,2,pct,1,1.0
19,3,pct,1,1.0
19,4,pct,1,1.0
19,6,pct,1,1.0
19,7,pct,1,1.0
19,8,pct,1,1.0
19,9,pct,1,1.0
19,10,pct,1,1.0
19,11,pct,3,1.0
20,2,pct,1,1.0
20,3,pct,1,1.0
20,4,pct,1,1.0
20,5,pct,1,1.0
20,6,pct,1,1.0
20,7,pct,1,1.0
20,8,pct,2,1.0
20,9,pct,1,1.0
20,10,pct,2,1.0
21,2,pct,2,0.5
21,4,pct,1,1.0
21,6,pct,1,1.0
21,7,pct,1,1.0
21,8,pct,1,1.0
21,9,pct,1,1.0
21,11,pct,3,1.0
22,2,pct,1,1.0
22,3,pct,1,1.0
22,4,pct,1,1.0
22,6,pct,1,1.0
22,7,pct,2,1.0
22,8,pct,1,1.0
22,9,pct,2,1.0
22,10,pct,2,1.0
23,2,pct,1,1.0
23,3,pct,1,1.0
23,4,pct,2,1.0
23,6,pct,1,1.0
23,7,pct,1,1.0
23,8,pct,1,1.0
23,9,pct,1,1.0
23,10,pct,1,1.0
23,11,pct,3,1.0
24,2,pct,1,1.0
24,3,pct,1,1.0
24,4,pct,1,1.0
24,5,pct,1,1.0
24,6,pct,1,1.0
24,7,pct,2,1.0
24,8,pct,1,1.0
24,9,pct,1,1.0
24,10,pct,2,1.0
25,2,pct,2,1.0
25,4,pct,1,1.0
25,5,pct,1,1.0
25,6,pct,1,1.0
25,7,pct,2,1.0
25,8,pct,1,1.0
25,9,pct,1,1.0
25,10,pct,3,1.0
26,1,pct,2,1.0
26,2,pct,2,1.0
26,3,pct,3,1.0
26,4,pct,2,1.0
27,1,pct,1,1.0
27,2,pct,1,1.0
27,3,pct,1,1.0
27,4,pct,1,1.0
27,6,pct,1,1.0
27,7,pct,2,1.0
27,8,pct,2,1.0
27,9,pct,3,1.0
28,2,bottom2_save,1,0.0
28,4,bottom2_save,1,1.0
28,6,bottom2_save,1,0.0
28,7,bottom2_save,1,0.0
28,8,bottom2_save,1,0.0
28,9,bottom2_save,1,1.0
28,10,bottom2_save,1,0.0
28,11,bottom2_save,3,1.0
29,2,bottom2_save,1,0.0
29,3,bottom2_save,1,1.0
29,4,bottom2_save,1,0.0
29,5,bottom2_save,1,0.0
29,6,bottom2_save,1,0.0
