season,week,U_t,w_t,eliminated,saved_if_any
1,1,0.022206871642740517,0.5341502289188499,Kelly Monaco,Trista Sutter
1,2,0.01935845951005973,0.522147510671477,Evander Holyfield,Kelly Monaco
1,3,0.021251928923332716,0.5303109652639614,Evander Holyfield,Kelly Monaco
1,4,0.023269447288270496,0.5382230317534571,John O'Hurley,
1,5,0.034467189809373334,0.5714822625419282,Joey McIntyre,
1,6,0.06253138126008753,0.6151837774538105,John O'Hurley,
2,1,0.01690583890761313,0.510328115897238,Kenny Mayne,
2,2,0.017296142156140393,0.512313027693468,Tatum O'Neal,
2,3,0.017963294956355635,0.5156113686115095,Master P,Giselle Fernandez
2,4,0.019223710711082725,0.521536517756793,Master P,Stacy Keibler
2,5,0.022106339358766446,0.5337542492032707,Tia Carrere,
2,6,0.024662533227655138,0.5432690782603082,George Hamilton,Stacy Keibler
2,7,0.029689026052185874,0.5591238235853475,Stacy Keibler,
2,8,0.04012741528409206,0.5835805602664581,Stacy Keibler,
3,1,0.015211605086183555,0.5012019053699235,Tucker Carlson,Shanna Moakler
3,2,0.015215480548894697,0.5012237830950255,Shanna Moakler,
3,3,0.015395813293374826,0.5022364978032524,Harry Hamlin,
3,4,0.0166688898037412,0.5091024834003615,Vivica A. Fox,
3,5,0.018035335676181614,0.5159606093766245,Willa Ford,
3,6,0.021580210448307456,0.5316506837140134,Jerry Springer,Monique Coleman
3,7,0.02011467450007099,0.5255002667418475,Jerry Springer,Monique Coleman
3,8,0.021479684988025743,0.5312426914037378,Monique Coleman,
3,9,0.02365034731642952,0.5396347238830497,Joey Lawrence,
3,10,0.03150846353494731,0.5641000037741242,Mario Lopez,
4,1,0.013845733076113594,0.49317924701887444,Billy Ray Cyrus,
4,2,0.012658532320500777,0.48566091301029213,Paulina Porizkova,
4,3,0.013112683715893575,0.4886006443917407,Shandi Finnessey,
4,4,0.014333662424059344,0.4961184590929413,Leeza Gibbons,
4,5,0.015347108056095057,0.5019639969162071,Clyde Drexler,Heather Mills
4,6,0.01639406185848358,0.5076609303127764,Heather Mills,
4,7,0.017726840561058527,0.5144557059139119,John Ratzenberger,
4,8,0.02008015458306147,0.525349974998392,Billy Ray Cyrus,Ian Ziering
4,9,0.02222257653426582,0.5342119175432334,Ian Ziering,
4,10,0.027540449259078465,0.5527569657187609,Laila Ali,
5,1,0.013207230615451065,0.4892025360060301,Josie Maran,
5,2,0.012827001915977078,0.48676091048713577,Albert Reed,
5,3,0.012835777479326502,0.48681789994443647,Wayne Newton,
5,4,0.013228051471399485,0.48933462270500155,Floyd Mayweather Jr. ,
5,5,0.013658661581615094,0.49202975783732544,Mark Cuban,Sabrina Bryan
5,6,0.014646705666051819,0.4979605891691206,Sabrina Bryan,
5,7,0.015002575801066953,0.5000147177800947,Jane Seymour,
5,8,0.016787982410431605,0.5097204700735347,Cameron Mathison,
5,9,0.01932793265695118,0.5220094592548394,Jennie Garth,
5,10,0.026404737486312613,0.5491533326297837,Marie Osmond,Mel B
6,1,0.013495167242387288,0.49101462759255377,Monica Seles,
6,2,0.012628395894541858,0.48546294391472133,Monica Seles,
6,3,0.014040137148636037,0.49436040549911575,Steve Guttenberg,
6,4,0.015165014934589252,0.5009385176425842,Adam Carolla,
6,5,0.015457786713068203,0.5025821505260478,Priscilla Presley,
6,6,0.017343334407170685,0.5125502151555096,Marlee Matlin,
6,7,0.018886699931403097,0.5199898676836003,Shannon Elizabeth,
6,8,0.021603189740737,0.5317436705304895,Mario,
6,9,0.026731936528803714,0.5502095029662322,Marissa Jaret Winokur,
6,10,0.03646673376853896,0.5760332051665413,Cristian de la Fuente,Jason Taylor
7,1,0.013830392322248013,0.49308546193250724,Jeffrey Ross,Ted McGinley
7,2,0.015739674981629818,0.5041392373154485,Kim Kardashian,
7,3,0.016241984700087506,0.5068538448452272,Cloris Leachman,Rocco DiSpirito
7,4,0.015352420778696946,0.501993757547202,Rocco DiSpirito,
7,5,0.016513817665301606,0.5082917523397733,Toni Braxton,
7,6,0.018474292535393167,0.5180603322709423,Cloris Leachman,Susan Lucci
7,7,0.019886880943309097,0.5245037006039894,Susan Lucci,
7,8,0.023158037516706524,0.5378054146393869,Maurice Greene,
7,9,0.028908543853704945,0.5568757225539493,Cody Linley,Lance Bass
7,10,0.03930423656154352,0.58196458793065,Lance Bass,
8,1,0.011932232782438252,0.480785764412635,Steve Wozniak,
8,2,0.011042637994923853,0.47450370032518974,Belinda Carlisle,
8,3,0.011336286651004454,0.47661679962403514,Denise Richards,
8,4,0.011866859881393632,0.4803360599050693,Steve Wozniak,
8,5,0.013656690121802728,0.492017575861822,David Alan Grier,
8,6,0.015287743790606939,0.5016308426648888,Steve-O,
8,7,0.016946391546443822,0.5105363011919424,Lawrence Taylor,
8,8,0.01804055505574828,0.5159858606231815,Chuck Wicks,
8,9,0.020369556241002347,0.5266020077552828,Lil' Kim,
8,10,0.02408067444430074,0.5412002518508415,Ty Murray,Melissa Rycroft
8,11,0.03047234297783301,0.5613101832210496,Melissa Rycroft,
9,1,0.010819391577570956,0.4728702728481407,Macy Gray,
9,2,0.011450695444925498,0.4774294049472462,Kathy Ireland,
9,3,0.011741704665277446,0.4794699410817287,Debi Mazar,
9,4,0.011067170439627863,0.47468176531870054,Chuck Liddell,
9,5,0.011095799827276326,0.4748892120838839,Natalie Coughlin,
9,6,0.010865046495725367,0.4732062382938752,Melissa Joan Hart,
9,7,0.012717618355425935,0.48604799640499774,Mark Dacascos,
9,8,0.01688433298414473,0.5102175250665627,Aaron Carter,
9,9,0.019738964625267003,0.5238504685260664,Joanna Krupa,
9,10,0.0272444908987455,0.551834576543487,Kelly Osbourne,Mya
10,1,0.014697514587465555,0.4982564433439638,Aiden Turner,
10,2,0.013666461061382706,0.49207793812253736,Shannen Doherty,
10,3,0.01427565294667808,0.49577340186954993,Buzz Aldrin,
10,4,0.015523062778193684,0.5029449193694794,Aiden Turner,
10,5,0.016490010908785335,0.5081666783411489,Kate Gosselin,
10,6,0.017774858775261734,0.514691563993769,Jake Pavelka,
10,7,0.01895344500164828,0.5202983073845253,Pamela Anderson,
10,8,0.022052674973780755,0.5335420991800307,Niecy Nash,
10,9,0.02641882178542792,0.5491991022013083,Chad Ochocinco,
10,10,0.033778824358360104,0.5698372438684256,Erin Andrews,
11,1,0.013621469705988001,0.4917997023564589,David Hasselhoff,
11,2,0.013612458371511553,0.49174388488249066,Michael Bolton,Margaret Cho
11,3,0.0136716682293001,0.49211009230873787,Margaret Cho,
11,4,0.013716442258240584,0.4923861614346591,The Situation,
11,5,0.01351318980522103,0.49112701474601295,Florence Henderson,
11,6,0.013878137627985811,0.49337707176035883,Audrina Patridge,
11,7,0.01540583694315908,0.5022924860881589,Rick Fox,
11,8,0.017241842157518023,0.5120393730687968,Kurt Warner,
11,9,0.021205385951109157,0.5301192953681926,Brandy,
11,10,0.028035954078940623,0.5542758203886937,Bristol Palin,Kyle Massey
12,1,0.016048770592056394,0.5058186205789081,Mike Catherwood,
12,2,0.015278543485425887,0.5015791098946075,Mike Catherwood,
12,3,0.015541651006111023,0.5030479788686119,Wendy Williams,Sugar Ray Leonard
12,4,0.01586369609392558,0.5048165481419628,Sugar Ray Leonard,
12,5,0.016775312633960468,0.5096549152505152,Petra Nemcova,
12,6,0.01792360883952731,0.5154184104782774,Chris Jericho,
12,7,0.01913635425355811,0.5211381685006188,Kendra Wilkinson,
12,8,0.02110204446540176,0.5296921700356694,Romeo,
12,9,0.024864565348765563,0.5439748619966825,Ralph Macchio,Kirstie Alley
12,10,0.031118523785142103,0.5630633382641892,Chelsea Kane,
13,1,0.012721166308878118,0.4860711952036772,Metta World Peace (Ron),
13,2,0.012220143514030318,0.4827446051892401,Elisabetta Canalis,
13,3,0.012198224691688091,0.48259670938295435,Kristin Cavallari,
13,4,0.012913383678854995,0.48732056028328957,Chynna Phillips,
13,5,0.01353966445071193,0.4912918893304129,Carson Kressley,
13,6,0.01442700768426869,0.49667126274240125,Chaz Bono,David Arquette
13,7,0.01615372289380851,0.506382318618734,David Arquette,
13,8,0.019110884998208726,0.5210216925461901,Nancy Grace,Ricki Lake
13,9,0.024680253281201794,0.5433312372706469,Hope Solo,Ricki Lake
13,10,0.03155231451185991,0.5642156018351104,Ricki Lake,
14,1,0.013415585341085794,0.49051691213700743,Martina Navratilova,
14,2,0.012359303202289245,0.4836789019763321,Martina Navratilova,
14,3,0.01219787440666948,0.4825943442232318,Jack Wagner,
14,4,0.012524792769651924,0.4847795664810038,Sherri Sheperd,
14,5,0.01291973068971026,0.4873615654399021,Gavin DeGraw,
14,6,0.013116977216252504,0.4886280515793972,Gladys Knight,
14,7,0.013188072143091074,0.48908084899239246,Jaleel White,
14,8,0.012596896042336615,0.4852556270723307,Melissa Gilbert,
14,9,0.016935015338384388,0.510477945227078,Maria Menounos,
14,10,0.023255937422682175,0.5381725049304006,William Levy,
15,1,0.012321956557302453,0.48342895215548143,Pamela Anderson,
15,2,0.011822695349194721,0.48003120341667926,Joey Fatone,
15,3,0.011246487355183743,0.4759748185314433,Drew Lachey,
15,4,0.013219865434688612,0.4892827105587697,Bristol Palin,
15,5,0.014304791466805116,0.49594687212211974,Sabrina Bryan,
15,6,0.012760640170996157,0.4863289617216552,Sabrina Bryan,
15,7,0.01419363057805995,0.4952835109445356,Kirstie Alley,Gilles Marini
15,8,0.012459194747083527,0.4843446193122534,Kirstie Alley,
15,9,0.015456811320139392,0.5025767196943619,Emmitt Smith,
15,10,0.026816080153652045,0.5504787248948277,Kelly Monaco,
16,1,0.013220247982992634,0.4892851370771312,D. L. Hughley,Wynonna Judd
16,2,0.012369385600042132,0.48374628154848603,D. L. Hughley,
16,3,0.012982374129716921,0.4877654297271147,D. L. Hughley,
16,4,0.01379172122937255,0.49284866987138143,Lisa Vanderpump,
16,5,0.015439981130643151,0.5024829648132217,D. L. Hughley,
16,6,0.016781458347638473,0.5096867194922022,Victor Ortiz,
16,7,0.01878739095558547,0.5195289802292828,Andy Dick,Sean Lowe
16,8,0.02086480891731983,0.528703469183893,Sean Lowe,
16,9,0.02404864529383417,0.5410847835772183,Ingo Rademacher,Alexandra Raisman
16,10,0.029349827272367568,0.5581555319055896,Alexandra Raisman,
17,1,0.0137221017659545,0.4924210048180588,Bill Nye,
17,2,0.012960983771688512,0.48762769799326877,Keyshawn Johnson,
17,3,0.012999760737658177,0.487877249909517,Bill Nye,
17,4,0.012923734745379797,0.48738742569348653,Valerie Harper,Christina Milian
17,5,0.013230769885788944,0.48935185600398823,Christina Milian,
17,6,0.013960239247415622,0.4938765993666343,Bill Engvall,
17,7,0.012710539751324895,0.4860016969082121,"Nicole ""Snooki"" Polizzi",
17,8,0.013896683305507095,0.49349012005364157,Brant Daugherty,
17,9,0.015239175076027053,0.5013574385638202,Elizabeth Berkley Lauren,
