season,week,celebrity_name,judge_total,fan_share_mean,fan_share_sd,J_share,F_share,U_t,w_t,C_score
1,1,Kelly Monaco,13.0,0.1311125857955073,0.016425724122375664,0.11926605504587157,0.13111258579550733,0.022206871642740517,0.5341502289188499,0.12478475868369518
1,1,Trista Sutter,18.0,0.132111151134643,0.016235666310151647,0.1651376146788991,0.13211115113464303,0.022206871642740517,0.5341502289188499,0.14975224419718747
1,1,Evander Holyfield,18.0,0.1635289315713343,0.019218189422740752,0.1651376146788991,0.16352893157133433,0.022206871642740517,0.5341502289188499,0.16438821002149795
1,1,Rachel Hunter,20.0,0.1668980088563334,0.02314095836814021,0.1834862385321101,0.16689800885633344,0.022206871642740517,0.5341502289188499,0.175758615535008
1,1,John O'Hurley,20.0,0.1956326620764784,0.03148121376339542,0.1834862385321101,0.19563266207647842,0.022206871642740517,0.5341502289188499,0.18914464715970877
1,1,Joey McIntyre,20.0,0.2107166605657034,0.026739477869639414,0.1834862385321101,0.21071666056570343,0.022206871642740517,0.5341502289188499,0.19617152440290267
1,2,Evander Holyfield,14.0,0.1644668934554169,0.015622565394303444,0.11570247933884298,0.16446689345541693,0.01935845951005973,0.522147510671477,0.1390046760150948
1,2,Kelly Monaco,17.0,0.14797740342809,0.015238998397973958,0.14049586776859505,0.14797740342809002,0.01935845951005973,0.522147510671477,0.14407093820748484
1,2,Trista Sutter,19.0,0.1312592237610364,0.012925323604529217,0.15702479338842976,0.13125922376103644,0.01935845951005973,0.522147510671477,0.14471265180301246
1,2,Rachel Hunter,24.0,0.1609950177470608,0.01997640171823738,0.19834710743801653,0.16099501774706082,0.01935845951005973,0.522147510671477,0.18049831839757108
1,2,Joey McIntyre,21.0,0.2052815980212424,0.02339614389227026,0.17355371900826447,0.20528159802124246,0.01935845951005973,0.522147510671477,0.1887149649757302
1,2,John O'Hurley,26.0,0.1900198635871533,0.028991324053044113,0.21487603305785125,0.19001986358715336,0.01935845951005973,0.522147510671477,0.2029984506011066
1,3,Evander Holyfield,13.0,0.1849526174702523,0.016825613902272673,0.12264150943396226,0.18495261747025232,0.021251928923332716,0.5303109652639614,0.15190835362086036
1,3,Kelly Monaco,21.0,0.1870262508583538,0.01905828749864553,0.19811320754716982,0.18702625085835384,0.021251928923332716,0.5303109652639614,0.19290578556183957
1,3,Rachel Hunter,26.0,0.1808939509300643,0.019878575661380227,0.24528301886792453,0.18089395093006433,0.021251928923332716,0.5303109652639614,0.21504017970063777
1,3,Joey McIntyre,22.0,0.2315430220869365,0.021306946730886265,0.20754716981132076,0.23154302208693653,0.021251928923332716,0.5303109652639614,0.2188177585043233
1,3,John O'Hurley,24.0,0.2155841586543929,0.029190220823478885,0.22641509433962265,0.21558415865439293,0.021251928923332716,0.5303109652639614,0.221327922612339
1,4,John O'Hurley,21.0,0.2603372311180489,0.029702845207857043,0.22826086956521738,0.26033723111804896,0.023269447288270496,0.5382230317534571,0.24307299455546394
